task,discipline,category,primary_cluster,primary_score,secondary_clusters,all_candidate_clusters,card_path
wave-runup,civil,wave-overtopping,SSC-04,3.5,SSC-06,SSC-04:3.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/wave-runup.md
wave-shoaling,civil,wave-climate,SSC-04,3.5,SSC-06,SSC-04:3.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/wave-shoaling.md
weir-outlet-design,civil,detention-design,SSC-03,3.5,SSC-17,SSC-03:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/weir-outlet-design.md
ac-resistance-temperature,electrical,electrical-parameters,SSC-17,1.5,SSC-15;SSC-05,SSC-17:1.5;SSC-15:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/ac-resistance-temperature.md
access-controller-sizing,electrical,access-control,SSC-05,4.5,SSC-17;SSC-08,SSC-05:4.5;SSC-17:3.5;SSC-08:3.5,docs/task-world-opportunities/task-cards/electrical/access-controller-sizing.md
all-red-interval-calculation,electrical,signal-timing,SSC-01,4.5,SSC-08;SSC-05,SSC-01:4.5;SSC-20:1.5;SSC-08:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/all-red-interval-calculation.md
bandwidth-calculation,electrical,its-communications,SSC-13,4.5,SSC-05;SSC-01,SSC-13:4.5;SSC-05:1.5;SSC-01:1.5,docs/task-world-opportunities/task-cards/electrical/bandwidth-calculation.md
battery-sizing,electrical,power-supply,SSC-05,5.5,SSC-17,SSC-05:5.5;SSC-17:4.5,docs/task-world-opportunities/task-cards/electrical/battery-sizing.md
bess-sizing,electrical,bess-design,SSC-17,5.5,SSC-05;SSC-06,SSC-17:5.5;SSC-05:3.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/electrical/bess-sizing.md
bess-sizing-basic,electrical,bess-design,SSC-17,4.5,SSC-05,SSC-17:4.5;SSC-05:2.5,docs/task-world-opportunities/task-cards/electrical/bess-sizing-basic.md
busbar-forces,electrical,busbar-design,SSC-05,3.5,SSC-17;SSC-15,SSC-05:3.5;SSC-17:1.5;SSC-15:1.5;SSC-11:1.5;SSC-14:1,docs/task-world-opportunities/task-cards/electrical/busbar-forces.md
cable-ampacity,electrical,cable-sizing,SSC-05,3.5,SSC-17,SSC-05:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/electrical/cable-ampacity.md
car-dimensions-check,electrical,shaft-sizing,SSC-08,3.5,SSC-17;SSC-05,SSC-08:3.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/car-dimensions-check.md
cctv-storage-calculation,electrical,cctv-design,SSC-17,1.5,SSC-13;SSC-08,SSC-17:1.5;SSC-13:1.5;SSC-08:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/cctv-storage-calculation.md
conduit-fill-calculation,electrical,structured-cabling,SSC-13,2.5,SSC-17;SSC-05,SSC-13:2.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/conduit-fill-calculation.md
cv-liquid-incompressible,electrical,control-valve-sizing,SSC-18,4.5,SSC-17;SSC-05,SSC-18:4.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/cv-liquid-incompressible.md
dc-ac-ratio,electrical,solar-pv-design,SSC-17,6.5,SSC-05,SSC-17:6.5;SSC-05:3.5,docs/task-world-opportunities/task-cards/electrical/dc-ac-ratio.md
escalator-capacity,electrical,escalator-design,SSC-17,1.5,SSC-08;SSC-05,SSC-17:1.5;SSC-08:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/escalator-capacity.md
fiber-link-loss-budget,electrical,structured-cabling,SSC-13,2.5,SSC-17;SSC-05,SSC-13:2.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/fiber-link-loss-budget.md
4-20ma-scaling,electrical,signal-processing,SSC-18,4.5,SSC-10;SSC-05,SSC-18:4.5;SSC-10:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/4-20ma-scaling.md
grid-resistance,electrical,grounding-design,SSC-05,4.5,SSC-07;SSC-17,SSC-05:4.5;SSC-07:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/electrical/grid-resistance.md
handling-capacity,electrical,traffic-analysis,SSC-08,2.5,SSC-05;SSC-01,SSC-08:2.5;SSC-05:1.5;SSC-01:1.5,docs/task-world-opportunities/task-cards/electrical/handling-capacity.md
ice-load-calculation,electrical,structural-loading,SSC-14,2,SSC-09;SSC-05,SSC-14:2;SSC-09:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/ice-load-calculation.md
incident-energy,electrical,arc-flash,SSC-05,3.5,SSC-19;SSC-17,SSC-05:3.5;SSC-19:2.5;SSC-17:2.5;SSC-20:1.5,docs/task-world-opportunities/task-cards/electrical/incident-energy.md
interior-uniformity,electrical,interior-lighting,SSC-13,4.5,SSC-05,SSC-13:4.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/interior-uniformity.md
interval-calculation,electrical,traffic-analysis,SSC-08,2.5,SSC-05;SSC-01,SSC-08:2.5;SSC-05:1.5;SSC-01:1.5,docs/task-world-opportunities/task-cards/electrical/interval-calculation.md
leni-calculation,electrical,energy-performance,SSC-13,2.5,SSC-17;SSC-05,SSC-13:2.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/leni-calculation.md
line-capacitance,electrical,electrical-parameters,SSC-17,1.5,SSC-11;SSC-05,SSC-17:1.5;SSC-11:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/line-capacitance.md
line-inductance,electrical,electrical-parameters,SSC-17,1.5,SSC-05,SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/line-inductance.md
lux-level-calculation,electrical,lighting-design,SSC-13,3.5,SSC-08;SSC-05,SSC-13:3.5;SSC-08:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/lux-level-calculation.md
overlap-calculation,electrical,signal-sighting,SSC-02,5.5,SSC-13;SSC-05,SSC-02:5.5;SSC-13:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/overlap-calculation.md
pedestrian-clearance-time,electrical,signal-timing,SSC-01,4.5,SSC-05,SSC-01:4.5;SSC-20:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/pedestrian-clearance-time.md
pfc-sizing,electrical,load-flow,SSC-05,3.5,SSC-14,SSC-05:3.5;SSC-14:1,docs/task-world-opportunities/task-cards/electrical/pfc-sizing.md
poe-power-budget,electrical,poe-network,SSC-13,2.5,SSC-05;SSC-17,SSC-13:2.5;SSC-05:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/electrical/poe-power-budget.md
power-load-calculation,electrical,power-supply,SSC-05,2.5,SSC-06;SSC-02,SSC-05:2.5;SSC-06:1.5;SSC-02:1.5;SSC-14:1,docs/task-world-opportunities/task-cards/electrical/power-load-calculation.md
ppm-calculation,electrical,cctv-design,SSC-13,2.5,SSC-08;SSC-05,SSC-13:2.5;SSC-08:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/ppm-calculation.md
radial-feeder-voltage-drop,electrical,load-flow,SSC-05,5.5,SSC-14,SSC-05:5.5;SSC-14:2,docs/task-world-opportunities/task-cards/electrical/radial-feeder-voltage-drop.md
rf-link-budget,electrical,wireless-design,SSC-13,3.5,SSC-05,SSC-13:3.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/rf-link-budget.md
road-aeci-calculation,electrical,energy-performance,SSC-17,2.5,SSC-13;SSC-01,SSC-17:2.5;SSC-13:2.5;SSC-01:2.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/road-aeci-calculation.md
road-pdi-calculation,electrical,energy-performance,SSC-13,2.5,SSC-01;SSC-17,SSC-13:2.5;SSC-01:2.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/road-pdi-calculation.md
road-uniformity-check,electrical,road-lighting,SSC-13,2.5,SSC-01;SSC-05,SSC-13:2.5;SSC-01:2.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/road-uniformity-check.md
shaft-dimensions,electrical,shaft-sizing,SSC-08,2.5,SSC-17;SSC-05,SSC-08:2.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/shaft-dimensions.md
signal-sighting-distance,electrical,signal-sighting,SSC-02,5.5,SSC-13;SSC-05,SSC-02:5.5;SSC-13:1.5;SSC-05:1.5;SSC-14:1,docs/task-world-opportunities/task-cards/electrical/signal-sighting-distance.md
single-span-sag-tension,electrical,catenary-design,SSC-02,2.5,SSC-17;SSC-05,SSC-02:2.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/single-span-sag-tension.md
sports-illuminance-uniformity,electrical,sports-lighting,SSC-13,4.5,SSC-05,SSC-13:4.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/sports-illuminance-uniformity.md
static-thermal-rating,electrical,thermal-rating,SSC-05,3.5,SSC-17,SSC-05:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/electrical/static-thermal-rating.md
string-sizing,electrical,solar-pv-design,SSC-17,4.5,SSC-05;SSC-16,SSC-17:4.5;SSC-05:4.5;SSC-16:1.5,docs/task-world-opportunities/task-cards/electrical/string-sizing.md
three-phase-fault-current,electrical,short-circuit,SSC-05,4.5,SSC-17,SSC-05:4.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/electrical/three-phase-fault-current.md
vms-legibility-distance,electrical,vms-design,SSC-01,3.5,SSC-13;SSC-17,SSC-01:3.5;SSC-13:2.5;SSC-20:1.5;SSC-17:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/vms-legibility-distance.md
voltage-drop,electrical,cable-sizing,SSC-05,4.5,SSC-17;SSC-15,SSC-05:4.5;SSC-17:1.5;SSC-15:1.5,docs/task-world-opportunities/task-cards/electrical/voltage-drop.md
voltage-drop-dc,electrical,solar-pv-design,SSC-05,6.5,SSC-17;SSC-07,SSC-05:6.5;SSC-17:4.5;SSC-07:1.5,docs/task-world-opportunities/task-cards/electrical/voltage-drop-dc.md
voltage-regulation,electrical,electrical-parameters,SSC-05,3.5,SSC-17;SSC-14,SSC-05:3.5;SSC-17:1.5;SSC-14:1,docs/task-world-opportunities/task-cards/electrical/voltage-regulation.md
warning-time-calculation,electrical,level-crossings,SSC-02,4.5,SSC-13;SSC-05,SSC-02:4.5;SSC-13:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/warning-time-calculation.md
wind-load-conductor,electrical,structural-loading,SSC-14,2,SSC-09;SSC-05,SSC-14:2;SSC-09:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/wind-load-conductor.md
yellow-interval-calculation,electrical,signal-timing,SSC-01,4.5,SSC-08;SSC-05,SSC-01:4.5;SSC-20:1.5;SSC-08:1.5;SSC-05:1.5,docs/task-world-opportunities/task-cards/electrical/yellow-interval-calculation.md
consolidation-settlement,ground,shallow-foundations,SSC-07,4.5,,SSC-07:4.5,docs/task-world-opportunities/task-cards/ground/consolidation-settlement.md
cpt-parameter-derivation,ground,soil-interpretation,SSC-07,4.5,,SSC-07:4.5,docs/task-world-opportunities/task-cards/ground/cpt-parameter-derivation.md
immediate-settlement,ground,shallow-foundations,SSC-07,3.5,,SSC-07:3.5,docs/task-world-opportunities/task-cards/ground/immediate-settlement.md
infinite-slope,ground,slope-stability,SSC-07,3.5,SSC-14;SSC-11,SSC-07:3.5;SSC-14:1.5;SSC-11:1,docs/task-world-opportunities/task-cards/ground/infinite-slope.md
lateral-earth-pressure,ground,retaining-walls,SSC-07,5.5,SSC-11,SSC-07:5.5;SSC-11:1,docs/task-world-opportunities/task-cards/ground/lateral-earth-pressure.md
meyerhof-bearing-capacity,ground,shallow-foundations,SSC-07,3.5,SSC-14;SSC-11,SSC-07:3.5;SSC-14:1.5;SSC-11:1,docs/task-world-opportunities/task-cards/ground/meyerhof-bearing-capacity.md
spt-corrections,ground,soil-interpretation,SSC-07,5.5,,SSC-07:5.5,docs/task-world-opportunities/task-cards/ground/spt-corrections.md
terzaghi-bearing-capacity,ground,shallow-foundations,SSC-07,3.5,SSC-14;SSC-11,SSC-07:3.5;SSC-14:1.5;SSC-11:1,docs/task-world-opportunities/task-cards/ground/terzaghi-bearing-capacity.md
wall-bearing,ground,retaining-walls,SSC-07,6.5,SSC-14;SSC-11,SSC-07:6.5;SSC-14:1.5;SSC-11:1,docs/task-world-opportunities/task-cards/ground/wall-bearing.md
wall-overturning,ground,retaining-walls,SSC-07,4.5,SSC-14;SSC-11,SSC-07:4.5;SSC-14:2.5;SSC-20:1.5;SSC-11:1,docs/task-world-opportunities/task-cards/ground/wall-overturning.md
a-weighting,mechanical,fundamental-calculations,SSC-12,2.5,SSC-06,SSC-12:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/a-weighting.md
air-changes,mechanical,ventilation,SSC-08,3.5,SSC-17,SSC-08:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/mechanical/air-changes.md
air-demand,mechanical,compressed-air,SSC-06,2.5,SSC-17,SSC-06:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/mechanical/air-demand.md
available-flow-calculation,mechanical,hydrant-flow-test,SSC-19,2.5,SSC-06,SSC-19:2.5;SSC-20:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/available-flow-calculation.md
biogas-production,mechanical,sludge-handling,SSC-10,3.5,SSC-17;SSC-06,SSC-10:3.5;SSC-17:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/biogas-production.md
braking-distance,mechanical,braking-systems,SSC-02,2.5,SSC-06,SSC-02:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/braking-distance.md
chemical-dosing,mechanical,fundamental-calculations,SSC-10,2.5,SSC-06,SSC-10:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/chemical-dosing.md
cstr-volume,mechanical,reactor-sizing,SSC-14,1.5,SSC-10;SSC-06,SSC-14:1.5;SSC-10:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/cstr-volume.md
davis-resistance,mechanical,train-resistance-dynamics,SSC-02,2.5,SSC-17,SSC-02:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/mechanical/davis-resistance.md
distance-attenuation,mechanical,fundamental-calculations,SSC-12,2.5,SSC-06,SSC-12:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/distance-attenuation.md
egress-width,mechanical,egress-modeling,SSC-08,3.5,SSC-14,SSC-08:3.5;SSC-20:1.5;SSC-14:1.5,docs/task-world-opportunities/task-cards/mechanical/egress-width.md
elevation-pressure,mechanical,sprinkler-hydraulics,SSC-19,1.5,SSC-06,SSC-20:1.5;SSC-19:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/elevation-pressure.md
friction-loss-hazen-williams,mechanical,sprinkler-hydraulics,SSC-11,3.5,SSC-19;SSC-06,SSC-11:3.5;SSC-19:2.5;SSC-20:1.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/friction-loss-hazen-williams.md
gas-load-calculation,mechanical,gas-services,SSC-17,1.5,SSC-14;SSC-08,SSC-17:1.5;SSC-14:1.5;SSC-08:1.5,docs/task-world-opportunities/task-cards/mechanical/gas-load-calculation.md
gci-calculation,mechanical,mesh-independence,SSC-06,1.5,,SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/gci-calculation.md
hazen-williams-friction,mechanical,pipe-hydraulics,SSC-11,3.5,SSC-06;SSC-03,SSC-11:3.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/hazen-williams-friction.md
hrt-calculation,mechanical,fundamental-calculations,SSC-10,3.5,SSC-06;SSC-03,SSC-10:3.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/mechanical/hrt-calculation.md
joukowsky-pressure,mechanical,transient-analysis,SSC-11,2.5,SSC-06,SSC-11:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/joukowsky-pressure.md
lmtd-calculation,mechanical,heat-exchanger-design,SSC-06,1.5,,SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/lmtd-calculation.md
mass-balance,mechanical,convergence-assessment,SSC-10,2.5,SSC-06,SSC-10:2.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/mechanical/mass-balance.md
