cluster_id,cluster_name,shared_subworld,card_memberships,primary_cards,disciplines,discipline_count,score_total,shared_subworld_concreteness,cross_discipline_distance,verifier_locality,source_pack_realism,event_value,stage_substrate,candidate_product,main_risk,top_task_cards,overlay
SSC-19,"Fire, hazard, suppression, and tenability world","fire strategy, sprinkler/hydrant/supply, design fire/visibility/steel temperature, hazardous inventory",11,8,civil;electrical;mechanical,3,26,4,4,4,5,5,4,BESS/fire/hazard package or fire-water/structural-fire/arc-flash safety product,Standards and accepted calculation evidence are high-risk; public data may be sparse.,"bund-volume-calculation, incident-energy, available-flow-calculation, elevation-pressure, friction-loss-hazen-williams, nac-load-calculation, sprinkler-discharge, steel-critical-temp, t-squared-hrr, visibility-criterion",no
SSC-09,"Roof/facade/envelope wind, drainage, and fixing world","roof/facade geometry, pressure zones, PV/racking layout, gutters/downpipes, brackets/tolerances",16,2,civil;electrical;structural,3,26,5,4,5,5,4,3,"Roof/facade/PV wind, drainage, access tolerance, and fixing package","Needs geometry ownership so wind, drainage, and fixing zones do not drift.","design-wind-pressure, design-wind-speed, downpipe-sizing, gutter-sizing, roadway-spread, sls-load-combinations, solar-array-wind-load, uls-load-combinations, ice-load-calculation, wind-load-conductor",no
SSC-04,"Coastal, flood, wave, and marine boundary world","coastal profile, tide/SLR table, wave climate, runup/freeboard, outfall/asset level",13,9,civil;mechanical;structural,3,25,4,4,4,4,4,5,Coastal flood/outfall/pump/electrical elevation package,Datum and planning-horizon control must be explicit before joining assets.,"cerc-longshore-transport, freeboard-calculation, hudson-armor-sizing, linear-wave-theory, outfall-submergence-check, tidal-prism, wave-breaking, wave-runup, wave-shoaling, slr-calculation",no
SSC-08,"Building occupancy, room, egress, and vertical movement world","floor/room plan, occupancy/population schedule, egress route, lift/escalator group, fire alarm zones",20,7,electrical;mechanical,2,25,5,3,4,5,4,4,"Station population, vertical movement, egress, alarm, and ventilation package",Can become too broad unless scoped to one floor/zone and scenario.,"access-controller-sizing, all-red-interval-calculation, car-dimensions-check, cctv-storage-calculation, escalator-capacity, handling-capacity, interval-calculation, lux-level-calculation, ppm-calculation, shaft-dimensions",no
SSC-15,Material/product compliance and certificate world,"mill/product certificate, material chemistry, mix design, product datasheet, code compliance note",14,6,civil;electrical;mechanical;structural,4,24,4,5,3,5,3,4,"Product compliance package spanning steel, concrete, equipment, and electrical component data",Often evidence assembly rather than long-horizon physical composition.,"driveway-gradient-check, pipe-velocity-check, sewer-slope-check, ac-resistance-temperature, busbar-forces, voltage-drop, occupant-load, por-aor-compliance, steel-critical-temp, carbon-equivalent-calc",no
SSC-13,"Lighting, visual performance, ITS, CCTV, and communications scene","road/room/field lighting grid, CCTV coverage, VMS/message library, topology and bandwidth/power",18,12,electrical,1,23,4,1,4,5,4,5,"Visual operations package for road users, ITS, CCTV, lighting, and comms power","Needs a concrete scene/layout, otherwise it is a loose collection of devices.","bandwidth-calculation, cctv-storage-calculation, conduit-fill-calculation, fiber-link-loss-budget, interior-uniformity, leni-calculation, lux-level-calculation, overlap-calculation, poe-power-budget, ppm-calculation",no
SSC-16,"Construction, temporary works, environmental controls, and staging world","construction staging plan, erosion/sediment controls, temporary traffic/comms/power, site monitoring",8,2,civil;electrical;structural,3,23,4,4,4,4,4,3,"Construction environmental controls, temporary traffic, and monitoring power package",Temporary works artifacts vary widely and can become scenario prose without drawings.,"bund-volume-calculation, cerc-longshore-transport, design-wind-speed, freeboard-calculation, pollutant-load-estimate, sediment-basin-sizing, string-sizing, construction-tolerance",no
SSC-12,"Acoustic, vibration, and receiver-impact world","equipment noise/vibration schedule, source map, receiver plan, octave spectra, operating scenario",6,6,mechanical,1,19,4,1,4,4,3,3,Equipment power/duty to acoustic/vibration receiver impact package,Small current card substrate unless joined to equipment and site layout clusters.,"a-weighting, distance-attenuation, miner-fatigue, sabine-rt60, spl-log-sum, vibration-transmissibility",no
SSC-18,"Instrumentation, controls, valve, and process signal world","P&ID, loop schedule, valve datasheet, 4-20 mA range, control/protection settings",2,2,electrical,1,15,3,1,3,4,3,1,"Instrumentation/control package tying process value, valve Cv, signal scaling, and protection settings",Current catalogue substrate is thin; likely a follow-up after process/piping worlds.,"cv-liquid-incompressible, 4-20ma-scaling",no
SSC-20,"Regional standards, authority, and review packet overlay","standard/owner/AHJ criteria, permits, forms, design report package, source authority gates",0,0,,0,0,3,1,3,5,4,1,Authority overlay for any shared-subworld product,Overlay only; not ranked as a physical product cluster.,,yes
