name,discipline,category,template_dir,card_path,description,standards,tags,tool_mode,param_count,output_count,archetype_count,visibility_mix,hidden_params,multimodal_families,operation_handles
fos-steady-state,civil,slope-stability,src/aec_bench/templates/builtin/civil/fos_steady_state,docs/task-world-opportunities/task-cards/civil/fos-steady-state.md,Factor of safety for embankment slope under steady-state seepage,USACE EM 1110-2-1902; ANCOLD Guidelines on Design Criteria,civil; dams; slope-stability; seepage; embankment; deterministic,with-tool,6,3,6,all_given; partial,cohesion_kpa; friction_angle_deg; saturated_unit_weight_kn_m3,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
freeboard-calculation,civil,coastal-drainage,src/aec_bench/templates/builtin/civil/freeboard_calculation,docs/task-world-opportunities/task-cards/civil/freeboard-calculation.md,Freeboard calculation for coastal/flood structures: total freeboard = wave_allowance + slr_allowance + construction_tolerance + safety_margin (NZS 4404 / MfE Guidance),NZS 4404:2010; MfE Guidance 2024,coastal; flood; freeboard; sea-level-rise; drainage,both,5,2,4,all_given; partial,construction_tolerance_m; safety_margin_m; slr_allowance_m; wave_allowance_m,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
gutter-sizing,civil,stormwater-roof,src/aec_bench/templates/builtin/civil/gutter_sizing,docs/task-world-opportunities/task-cards/civil/gutter-sizing.md,"Size eaves gutters per AS/NZS 3500.3 using catchment area, rainfall intensity, and gutter grade",AS/NZS 3500.3:2025,civil; drainage; stormwater; plumbing; roof-drainage; gutter,with-tool,4,4,4,all_given; partial,rainfall_intensity_mm_hr,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
hazen-williams-headloss,civil,pipe-hydraulics,src/aec_bench/templates/builtin/civil/hazen_williams_headloss,docs/task-world-opportunities/task-cards/civil/hazen-williams-headloss.md,Friction head loss calculation using the Hazen-Williams empirical equation,AWWA; AS/NZS 3500,civil; pipe-hydraulics; head-loss; hazen-williams; deterministic,with-tool,4,3,4,all_given; partial,c_factor,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
hgl-check,civil,stormwater-piped,src/aec_bench/templates/builtin/civil/hgl_check,docs/task-world-opportunities/task-cards/civil/hgl-check.md,Hydraulic grade line check for a single stormwater pipe reach,ARR 2019; QUDM; Local Council DCPs,civil; stormwater; hydraulic-grade-line; surcharge; deterministic,with-tool,8,7,4,all_given; partial,mannings_n; pit_loss_coefficient,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
hudson-armor-sizing,civil,armor-stability,src/aec_bench/templates/builtin/civil/hudson_armor_sizing,docs/task-world-opportunities/task-cards/civil/hudson-armor-sizing.md,Armor stone sizing using Hudson's equation W = rho_r * H^3 / (KD * (Sr-1)^3 * cot(alpha)),USACE CEM; CIRIA C683 Rock Manual,coastal; breakwater; armor; riprap; wave,with-tool,5,3,5,all_given; partial,rock_density_kg_m3; stability_coefficient_kd; water_density_kg_m3,spatial-map; chart-curve; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
intersection-sight-distance,civil,sight-distance,src/aec_bench/templates/builtin/civil/intersection_sight_distance,docs/task-world-opportunities/task-cards/civil/intersection-sight-distance.md,Intersection sight distance for give-way and stop-controlled intersections per AGRD Part 4A,AGRD Part 4A §3,civil; roads; sight-distance; intersection; gap-acceptance; deterministic,with-tool,6,4,4,all_given; partial,setback_distance_m; vehicle_type,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
lateral-earth-pressure,civil,slope-stability,src/aec_bench/templates/builtin/civil/lateral_earth_pressure,docs/task-world-opportunities/task-cards/civil/lateral-earth-pressure.md,Rankine lateral earth pressure with water table effects for retaining wall design,AS 4678; Rankine (1857),civil; geotechnical; earth-pressure; retaining-wall; water-table; rankine,with-tool,7,6,5,all_given; partial,friction_angle_deg; unit_weight_kn_m3,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
linear-wave-theory,civil,wave-climate,src/aec_bench/templates/builtin/civil/linear_wave_theory,docs/task-world-opportunities/task-cards/civil/linear-wave-theory.md,"Linear (Airy) wave theory: wavelength, celerity, and group velocity via dispersion relation (USACE CEM)",USACE Coastal Engineering Manual (CEM),coastal; wave; dispersion; wavelength; celerity; group-velocity,both,3,5,5,all_given; partial,wave_period_s,spatial-map; chart-curve; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
mannings-pipe-capacity,civil,hydraulic-calculations,src/aec_bench/templates/builtin/civil/mannings_pipe_capacity,docs/task-world-opportunities/task-cards/civil/mannings-pipe-capacity.md,Flow capacity and velocity in circular pipes using Manning's equation,HEC-22; QUDM; PUB Code of Practice,civil; hydraulics; drainage; pipe-flow; deterministic,with-tool,4,4,4,all_given; partial,mannings_n,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
min-curve-radius,civil,horizontal-geometry,src/aec_bench/templates/builtin/civil/min_curve_radius,docs/task-world-opportunities/task-cards/civil/min-curve-radius.md,Minimum horizontal curve radius using R = V^2 / (127 * (e_max + f)) per AGRD Part 3 §7,AGRD Part 3 §7,civil; roads; horizontal-geometry; curves; radius; deterministic,with-tool,3,2,4,all_given; partial,side_friction_factor,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
npsh-calculation,civil,pump-station,src/aec_bench/templates/builtin/civil/npsh_calculation,docs/task-world-opportunities/task-cards/civil/npsh-calculation.md,Net Positive Suction Head Available calculation for pump station suction systems,Hydraulics Institute; ANSI/HI 9.6.1,civil; pump-station; npsh; cavitation; suction-head; deterministic,with-tool,6,4,4,all_given; partial,specific_gravity; vapour_pressure_kpa,chart-curve; drawing-geometry; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
open-channel-capacity,civil,hydraulic-calculations,src/aec_bench/templates/builtin/civil/open_channel_capacity,docs/task-world-opportunities/task-cards/civil/open-channel-capacity.md,Flow capacity and velocity in trapezoidal/rectangular open channels using Manning's equation,HEC-22; ARR,civil; hydraulics; drainage; open-channel; mannings; deterministic,with-tool,5,6,5,all_given; partial,mannings_n,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
orifice-outlet-design,civil,detention-design,src/aec_bench/templates/builtin/civil/orifice_outlet_design,docs/task-world-opportunities/task-cards/civil/orifice-outlet-design.md,Size orifice outlet to achieve target release rate from detention basin,Hydraulics textbooks,civil; hydraulics; stormwater; detention; orifice,with-tool,3,3,4,all_given; partial,discharge_coefficient; head_above_centreline_m,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
outfall-submergence-check,civil,outfall-hydraulics,src/aec_bench/templates/builtin/civil/outfall_submergence_check,docs/task-world-opportunities/task-cards/civil/outfall-submergence-check.md,Outfall submergence analysis: fraction of tidal cycle an outfall invert is submerged under present and future sea levels,MfE Coastal Hazards Guidance 2024; IPCC AR6 Sea Level Projections,coastal; outfall; submergence; tidal; sea-level-rise; drainage,both,5,5,4,all_given; partial,tidal_period_hours,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
pipe-invert-calculation,civil,stormwater-piped,src/aec_bench/templates/builtin/civil/pipe_invert_calculation,docs/task-world-opportunities/task-cards/civil/pipe-invert-calculation.md,Downstream pipe invert level calculation for stormwater drainage,AS/NZS 3500.3; QUDM Section 7,civil; stormwater; invert-level; drainage; cover-depth; deterministic,with-tool,6,5,4,all_given; partial,minimum_cover_mm,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
pipe-velocity-check,civil,pipe-hydraulics,src/aec_bench/templates/builtin/civil/pipe_velocity_check,docs/task-world-opportunities/task-cards/civil/pipe-velocity-check.md,Pipe flow velocity compliance check against AS/NZS 3500.1 service-type limits,AS/NZS 3500.1 Clause 3.4,civil; pipe-hydraulics; velocity; compliance; deterministic,with-tool,3,2,4,all_given; partial,service_type,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
pollutant-load-estimate,civil,water-quality,src/aec_bench/templates/builtin/civil/pollutant_load_estimate,docs/task-world-opportunities/task-cards/civil/pollutant-load-estimate.md,Estimate annual pollutant loads from a catchment using the EMC method,MUSIC guidelines; Australian Runoff Quality (ARQ),civil; water-quality; stormwater; pollutant; EMC; TSS; phosphorus; nitrogen,both,6,4,4,all_given; partial,emc_tn_mg_l; emc_tp_mg_l; emc_tss_mg_l,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
pump-power-calc,civil,pump-station,src/aec_bench/templates/builtin/civil/pump_power_calc,docs/task-world-opportunities/task-cards/civil/pump-power-calc.md,Pump power calculation for water/wastewater pump stations at a given duty point,AWWA; Hydraulics Institute,civil; pump-station; hydraulic-power; brake-power; motor-power; deterministic,with-tool,4,3,4,all_given; partial,motor_efficiency_pct; pump_efficiency_pct,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
rational-method,civil,hydrologic-calculations,src/aec_bench/templates/builtin/civil/rational_method,docs/task-world-opportunities/task-cards/civil/rational-method.md,Peak runoff using the rational method Q = CIA / 360,ARR; HEC-22,hydrology; drainage; runoff; stormwater,with-tool,3,2,5,all_given; partial,runoff_coefficient,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
retaining-wall-stability,civil,slope-stability,src/aec_bench/templates/builtin/civil/retaining_wall_stability,docs/task-world-opportunities/task-cards/civil/retaining-wall-stability.md,"Sliding, overturning, and bearing stability checks for gravity retaining walls",AS 4678; Eurocode 7,civil; geotechnical; retaining-wall; gravity-wall; sliding; overturning; bearing-capacity; stability,with-tool,11,6,5,all_given; partial,backfill_friction_angle_deg; backfill_unit_weight_kn_m3; foundation_cohesion_kpa; foundation_friction_angle_deg,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
roadway-spread,civil,hydraulic-calculations,src/aec_bench/templates/builtin/civil/roadway_spread,docs/task-world-opportunities/task-cards/civil/roadway-spread.md,Roadway gutter spread width and curb depth from HEC-22 Manning's equation for triangular cross-sections,HEC-22,civil; hydraulics; drainage; roadway; gutter; spread; inlet-spacing,both,4,2,4,all_given; partial,mannings_n,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
scs-curve-number,civil,hydrologic-calculations,src/aec_bench/templates/builtin/civil/scs_curve_number,docs/task-world-opportunities/task-cards/civil/scs-curve-number.md,Runoff depth using the SCS/NRCS curve number method Q = (P - Ia)^2 / (P - Ia + S),NRCS TR-55,hydrology; drainage; runoff; stormwater; curve-number; SCS,with-tool,2,3,5,all_given; partial,curve_number,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
sediment-basin-sizing,civil,erosion-sediment,src/aec_bench/templates/builtin/civil/sediment_basin_sizing,docs/task-world-opportunities/task-cards/civil/sediment-basin-sizing.md,Size construction sediment basin per Blue Book (Soils and Construction),Managing Urban Stormwater: Soils and Construction (Blue Book),civil; erosion; sediment; stormwater; basin; construction,with-tool,6,3,5,all_given; partial,soil_loss_rate_m3_ha_yr; volumetric_runoff_coeff_m3_ha,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
sewer-pipe-sizing,civil,gravity-sewer,src/aec_bench/templates/builtin/civil/sewer_pipe_sizing,docs/task-world-opportunities/task-cards/civil/sewer-pipe-sizing.md,Gravity sewer pipe sizing using Manning's equation to select standard diameter for design flow,WSAA WSA 02; PUB Code of Practice; AS 4130,civil; sewer; gravity-flow; pipe-sizing; mannings; deterministic,with-tool,5,4,4,all_given; partial,mannings_n,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
sewer-slope-check,civil,gravity-sewer,src/aec_bench/templates/builtin/civil/sewer_slope_check,docs/task-world-opportunities/task-cards/civil/sewer-slope-check.md,Gravity sewer slope adequacy check for self-cleansing velocity using Manning's equation,WSAA WSA 02; BS EN 752,civil; sewer; gravity-flow; self-cleansing; compliance; deterministic,with-tool,3,3,4,all_given; partial,mannings_n,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
sls-load-combinations,civil,load-combinations,src/aec_bench/templates/builtin/civil/sls_load_combinations,docs/task-world-opportunities/task-cards/civil/sls-load-combinations.md,Generate and check serviceability limit state load combinations per AS/NZS 1170.0 Table 4.1,AS/NZS 1170.0,civil; loading; serviceability; load-combinations; SLS; structural-actions; deterministic,with-tool,4,6,7,all_given; partial,load_category,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
solar-array-wind-load,civil,wind-load-derivation,src/aec_bench/templates/builtin/civil/solar_array_wind_load,docs/task-world-opportunities/task-cards/civil/solar-array-wind-load.md,"Wind loads on ground-mounted solar PV arrays including uplift, downforce, and drag",AS/NZS 1170.2; SEAOC PV2-2017; ASCE 7-22,wind; solar; photovoltaic; uplift; drag; renewable-energy,with-tool,8,5,5,all_given; partial,row_position; tilt_angle_deg,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
spillway-weir-capacity,civil,spillway-hydraulics,src/aec_bench/templates/builtin/civil/spillway_weir_capacity,docs/task-world-opportunities/task-cards/civil/spillway-weir-capacity.md,Calculate spillway discharge capacity using the standard weir equation with pier/abutment corrections,USBR Design Standard No. 14; USACE EM 1110-2-1603,civil; hydraulics; dams; spillway; weir; discharge,with-tool,8,5,5,all_given; partial,abutment_shape; discharge_coefficient; pier_shape,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
ssd-on-grade,civil,sight-distance,src/aec_bench/templates/builtin/civil/ssd_on_grade,docs/task-world-opportunities/task-cards/civil/ssd-on-grade.md,Stopping sight distance on a longitudinal grade using d_r + d_b per AGRD Part 3 §5,AGRD Part 3 §5,civil; roads; sight-distance; stopping; grade; deterministic,with-tool,3,3,4,all_given; partial,reaction_time_s,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
stilling-basin-sizing,civil,spillway-hydraulics,src/aec_bench/templates/builtin/civil/stilling_basin_sizing,docs/task-world-opportunities/task-cards/civil/stilling-basin-sizing.md,Estimate stilling basin length required for energy dissipation based on Froude number and USBR basin type,USBR Hydraulic Design of Stilling Basins; USACE EM 1110-2-1603,civil; hydraulics; dams; spillway; stilling-basin; energy-dissipation,with-tool,3,4,4,all_given; partial,tailwater_depth_m,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
superelevation-rate,civil,horizontal-geometry,src/aec_bench/templates/builtin/civil/superelevation_rate,docs/task-world-opportunities/task-cards/civil/superelevation-rate.md,Superelevation rate and development length for horizontal curves using e + f = V^2 / (127 * R),AGRD Part 3 §7.5; AASHTO Green Book Ch. 3,civil; roads; horizontal-geometry; superelevation; curves; deterministic,with-tool,5,2,4,all_given; partial,side_friction_factor,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
thermal-stress-calculation,civil,rail-stress,src/aec_bench/templates/builtin/civil/thermal_stress_calculation,docs/task-world-opportunities/task-cards/civil/thermal-stress-calculation.md,Rail thermal stress and force in CWR using sigma = E * alpha * dT (AREMA / ARTC),AREMA MRE Chapter 5; UIC 720 R; ARTC ETS-05-00,civil; rail; CWR; thermal-stress; longitudinal-force; track; deterministic,with-tool,4,3,4,all_given; partial,elastic_modulus_mpa; thermal_expansion_coeff_micro_per_c,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
tidal-prism,civil,tidal-water-levels,src/aec_bench/templates/builtin/civil/tidal_prism,docs/task-world-opportunities/task-cards/civil/tidal-prism.md,Tidal prism and mean inlet velocity for a coastal basin,USACE Coastal Engineering Manual,civil; coastal; tidal-prism; inlet; hydraulics; deterministic,with-tool,5,4,3,all_given; partial,exchange_duration_h,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
transition-spiral-length,civil,track-geometry,src/aec_bench/templates/builtin/civil/transition_spiral_length,docs/task-world-opportunities/task-cards/civil/transition-spiral-length.md,"Minimum transition spiral length from cant runoff, cant deficiency rate of change, and twist criteria per ARTC ETS-05-00 / AREMA",ARTC ETS-05-00; AREMA MRE Chapter 5; EN 13803,civil; rail; track-geometry; spiral; transition; cant; deterministic,with-tool,6,4,4,all_given; partial,min_twist_ratio; rate_of_change_cant_mm_s; rate_of_change_cd_mm_s,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
uls-load-combinations,civil,load-combinations,src/aec_bench/templates/builtin/civil/uls_load_combinations,docs/task-world-opportunities/task-cards/civil/uls-load-combinations.md,Generate and check ultimate limit state load combinations per AS/NZS 1170.0 Table 4.1,AS/NZS 1170.0,civil; loading; load-combinations; ULS; structural-actions; deterministic,with-tool,5,6,6,all_given; partial,load_category,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
uplift-pressure,civil,seepage-analysis,src/aec_bench/templates/builtin/civil/uplift_pressure,docs/task-world-opportunities/task-cards/civil/uplift-pressure.md,Calculate uplift pressure distribution on concrete gravity dam foundation for stability analysis,USACE EM 1110-2-2200; USBR Design Standard No. 13,civil; dams; uplift; pressure; seepage; stability; hydraulics,with-tool,5,4,4,all_given; partial,drain_efficiency_pct,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
vertical-curve-design,civil,track-geometry,src/aec_bench/templates/builtin/civil/vertical_curve_design,docs/task-world-opportunities/task-cards/civil/vertical-curve-design.md,Minimum vertical curve radius and length for railway grade transitions using R_v = V^2 / (3.6^2 * a_v),ARTC ETS-05-00; AREMA MRE Chapter 5,civil; rail; track-geometry; vertical-curve; grade-transition; deterministic,with-tool,4,3,4,all_given; partial,max_vertical_acceleration_m_s2,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
